event_name,event_type,start_date,end_date,recurrence_pattern,cities_affected,tourism_impact,visitor_multiplier,school_vacation,tourism_season,priority
New Year's Day,Public Holiday,1/1/2026,1/1/2026,Annual,Cairo|Giza|Alexandria|Sharm El Sheikh|Hurghada,Medium,1.2,0,0,5
Coptic Christmas,Religious Holiday,1/7/2026,1/7/2026,Annual,Cairo|Alexandria|Luxor|Aswan,Medium,1.2,0,0,6
January 25 Revolution Day,National Holiday,1/25/2026,1/25/2026,Annual,Cairo|Alexandria,Medium,1.2,0,0,5
Cairo International Book Fair,Festival,1/22/2026,2/3/2026,Annual,Cairo,Very High,1.5,0,0,8
Mid-Year School Vacation,School Vacation,1/24/2026,2/7/2026,Annual,Cairo|Giza|Luxor|Aswan|Fayoum,High,1.35,1,0,7
Abu Simbel Sun Festival (Winter),Cultural Event,2/22/2026,2/22/2026,Annual,Aswan,Very High,1.4,0,0,8
Luxor African Film Festival,Festival,3/1/2026,3/7/2026,Annual,Luxor,High,1.5,0,0,8
Spring Break Europe,International Tourism Season,3/1/2026,4/30/2026,Annual,Sharm El Sheikh|Dahab|Hurghada,High,1.25,0,1,6
Ramadan,Religious Season,2/19/2026,3/19/2026,Variable,Cairo|Giza|Alexandria,High,1.3,0,0,7
Eid Al Fitr,Religious Holiday,3/20/2026,3/23/2026,Variable,Nationwide,Very High,1.7,0,0,10
Coptic Easter,Religious Holiday,4/12/2026,4/12/2026,Variable,Cairo|Alexandria,High,1.3,0,0,7
Sham El Nessim,National Spring Festival,4/13/2026,4/13/2026,Annual,Alexandria|Cairo|Fayoum,Very High,1.6,0,0,8
Sinai Liberation Day,National Holiday,4/25/2026,4/25/2026,Annual,Sharm El Sheikh|Dahab,Medium,1.2,0,0,5
Labor Day,Public Holiday,5/1/2026,5/1/2026,Annual,Nationwide,Medium,1.2,0,0,5
Arafat Day,Religious Holiday,5/26/2026,5/26/2026,Variable,Nationwide,High,1.4,0,0,8
Eid Al Adha,Religious Holiday,5/27/2026,5/31/2026,Variable,Nationwide,Very High,1.7,0,0,10
Summer School Vacation,School Vacation,6/15/2026,9/15/2026,Annual,Nationwide,Very High,1.35,1,0,7
University Summer Break,School Vacation,6/15/2026,9/30/2026,Annual,Nationwide,High,1.25,1,0,6
Summer Beach Tourism Season,Tourism Season,6/1/2026,9/30/2026,Annual,Alexandria|Hurghada|Sharm El Sheikh|Dahab,Very High,1.6,0,1,8
Islamic New Year,Religious Holiday,6/17/2026,6/17/2026,Variable,Nationwide,Low,1.1,0,0,4
June 30 Revolution Day,National Holiday,6/30/2026,6/30/2026,Annual,Nationwide,Medium,1.2,0,0,5
July 23 Revolution Day,National Holiday,7/23/2026,7/23/2026,Annual,Alexandria|Cairo,High,1.3,0,0,6
Alexandria Summer Festival,Festival,7/15/2026,8/31/2026,Annual,Alexandria,High,1.5,0,0,8
Mawlid Al Nabi,Religious Holiday,8/26/2026,8/26/2026,Variable,Cairo|Alexandria,Medium,1.2,0,0,6
Armed Forces Day,National Holiday,10/6/2026,10/6/2026,Annual,Cairo|Alexandria,Medium,1.2,0,0,5
Abu Simbel Sun Festival (Autumn),Cultural Event,10/22/2026,10/22/2026,Annual,Aswan,Very High,1.4,0,0,8
Winter Cultural Tourism Season,Tourism Season,10/1/2026,4/30/2027,Annual,Luxor|Aswan|Cairo|Giza,Very High,1.4,0,1,8
Nile Cruise Season,Tourism Season,10/1/2026,4/30/2027,Annual,Luxor|Aswan,Very High,1.4,0,1,7
Desert Safari Season,Tourism Season,10/1/2026,3/31/2027,Annual,Fayoum|Dahab,High,1.2,0,1,6
Winter Escape Tourism,International Tourism Season,11/1/2026,3/31/2027,Annual,Hurghada|Sharm El Sheikh|Luxor|Aswan,Very High,1.3,0,1,7
Cairo International Film Festival,Festival,11/15/2026,12/5/2026,Annual,Cairo,High,1.5,0,0,8
European Christmas Season,International Tourism Season,12/15/2026,1/7/2027,Annual,Luxor|Aswan|Cairo|Giza|Sharm El Sheikh,Very High,1.4,0,1,8
New Year Tourism Peak,International Tourism Season,12/25/2026,1/5/2027,Annual,Cairo|Giza|Sharm El Sheikh|Hurghada,Very High,1.6,0,1,9
Diving Season,Tourism Season,3/1/2026,11/30/2026,Annual,Dahab|Hurghada|Sharm El Sheikh,High,1.3,0,1,7
Red Sea Water Sports Events,Sports Event,5/1/2026,10/31/2026,Annual,Hurghada|Sharm El Sheikh,High,1.3,0,0,5
Pharaohs Rally Activities,Sports Event,9/1/2026,11/30/2026,Annual,Dahab|Sharm El Sheikh|Hurghada,Medium,1.2,0,0,4
